Kill Bill: Vol. 2,44.784
Sing Street,20.087
Ben-Hur,54.043
My Way,20.418
Fargo,47.189
Perfect Strangers,27.353
Dancer in the Dark,21.43
The Witch: Part 1. The Subversion,36.217
Shoplifters,37.353
Sherlock: The Abominable Bride,28.632
Coraline,133.989
Her,42.687
The Killer,46.532
The Theory of Everything,37.698
Luca,102.435
Isle of Dogs,37.1
Paper Moon,22.389
A Beautiful Mind,115.866
Downfall,26.352
Stand by Me,39.227
The Boy in the Striped Pyjamas,67.927
A Bronx Tale,62.864
Indiana Jones and the Last Crusade,95.367
"Spring, Summer, Fall, Winter... and Spring",21.915
Dances with Wolves,34.586
Kiki's Delivery Service,67.14
Solaris,21.045
Knives Out,73.785
A Fistful of Dollars,39.026
Millennium Actress,26.288
Anatomy of a Murder,23.652
The Nightmare Before Christmas,132.268
Papillon,21.953
The Big Lebowski,47.126
Warrior,54.647
Redeeming Love,49.675
"Love, Rosie",37.583
Luck,169.473
"Monsters, Inc.",141.907
Le Samouraï,23.201
An Egg Rescue,21.819
Dog Day Afternoon,27.827
Rio Bravo,34.37
Carlito's Way,33.338
El Infierno,44.297
The Bridge on the River Kwai,24.742
Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,25.784
Mr. Nobody,29.654
Mulholland Drive,45.7
Teen Titans Go! vs. Teen Titans,31.224
Close,31.385
Infernal Affairs,28.41
Evangelion: 2.0 You Can (Not) Advance,50.948
Before Sunset,22.718
Finding Nemo,95.279
Network,30.233
Everything Everywhere All at Once,103.369
Freaks,25.472
Elite Squad: The Enemy Within,28.778
The Grapes of Wrath,20.46
Anatomy of a Fall,44.767
Rosemary's Baby,30.153
We Bare Bears: The Movie,31.577
No Game No Life: Zero,22.106
Logan,88.509
How to Train Your Dragon,62.207
Spotlight,27.819
Harry Potter and the Goblet of Fire,161.512
RRR,58.807
The Heist of the Century,24.828
Gifted Hands: The Ben Carson Story,35.144
Ratatouille,122.678
Guy Ritchie's The Covenant,161.045
Into the Wild,35.723
Kagemusha,20.419
Belle,29.911
Paprika,34.91
Snatch,45.083
I Saw the Devil,39.102
Brokeback Mountain,41.476
Monty Python and the Holy Grail,31.176
A Man Called Otto,71.43
Pirates of the Caribbean: The Curse of the Black Pearl,124.301
Midnight Sun,42.27
John Wick: Chapter 4,383.995
Toy Story 3,83.627
The King of Comedy,27.829
The Outlaws,41.005
L.A. Confidential,33.685
Fantastic Mr. Fox,58.522
Rocky,58.868
Straight Outta Compton,48.273
The Perks of Being a Wallflower,60.557
The Man Who Shot Liberty Valance,29.226
Porco Rosso,38.456
Dune,121.675
Back to the Outback,45.881
Donnie Darko,47.303
Hustle,46.669
The Wind Rises,52.595
Die Hard,70.741
Tetris,43.082
The Girl Who Leapt Through Time,25.203
Red Shoes and the Seven Dwarfs,52.667
The Dark Knight Rises,90.781
The Chaser,21.669
Dogville,24.345
Scent of a Woman,44.154
War Room,33.021
Touch of Evil,29.577
The Untouchables,40.381
"Miraculous: Ladybug & Cat Noir, The Movie",204.454
Ninja Scroll,25.978
Big Fish,29.823
The Last: Naruto the Movie,51.295
Harry Potter and the Deathly Hallows: Part 1,147.492
Do the Right Thing,24.441
Rain Man,37.605
God's Own Country,21.353
Train to Busan,80.796
The Ten Commandments,61.885
Pan's Labyrinth,46.466
Life of Brian,35.22
How to Train Your Dragon: The Hidden World,101.745
Awakenings,29.523
Prey,133.817
Two Is a Family,21.79
Ip Man,20.326
Misery,32.119
Back to the Future Part II,46.022
"The Gangster, the Cop, the Devil",75.783
Annie Hall,25.007
The Super Mario Bros. Movie,502.499
Marriage Story,24.736
Three Steps Above Heaven,73.133
Batman: Under the Red Hood,36.473
The Breakfast Club,38.975
Mystic River,30.993
Manhattan,20.699
Descendants 3,61.431
The Hateful Eight,53.68
Zootopia,122.557
The Color Purple,31.132
Kabhi Khushi Kabhie Gham,30.764
All Quiet on the Western Front,31.71
A Walk to Remember,35.17
Platoon,43.005
The Seven Deadly Sins: Cursed by Light,56.911
No Manches Frida,37.426
Fallen Angels,28.435
Cool Hand Luke,35.494
Sound of Metal,27.623
The King's Speech,28.123
Rurouni Kenshin: The Final,48.89
All Quiet on the Western Front,89.87
The Blues Brothers,34.796
Mother,24.389
Selena,28.125
Big Hero 6,143.053
"Batman: The Dark Knight Returns, Part 1",32.938
Ponyo,69.031
Temple Grandin,25.668
Slumdog Millionaire,36.514
Beauty and the Beast,99.946
Girl in the Basement,104.478
Shrek,137.84
Sword Art Online: The Movie – Ordinal Scale,25.587
Instructions Not Included,25.655
Magnolia,31.224
Constantine: City of Demons - The Movie,23.606
Marcel the Shell with Shoes On,48.926
Elemental,491.164
Philadelphia,28.495
Maudie,22.058
Honor Society,26.55
The Woman King,107.089
White Snake,29.972
The Trial of the Chicago 7,22.386
The Maltese Falcon,25.157
Onward,54.917
Hotel Rwanda,21.582
Harry Potter and the Chamber of Secrets,160.38
Edward Scissorhands,69.466
Nosferatu,32.842
The Searchers,33.279
Rush,33.408
The Avengers,189.393
King Richard,48.42
Teen Titans: Trouble in Tokyo,216.616
Nightcrawler,70.354
"tick, tick... BOOM!",29.34
The Incredibles,96.659
The Sound of Music,34.113
Cowboy Bebop: The Movie,25.004
Batman Begins,73.493
Brief Encounter,20.886
Cléo from 5 to 7,22.339
The Batman,192.512
Aftersun,41.967
The Kissing Booth 2,48.717
Fiddler on the Roof,29.232
Spirit: Stallion of the Cimarron,74.667
Father There Is Only One,21.057
Rurouni Kenshin Part III: The Legend Ends,36.684
